Team;Elo;Date
Napoli;1811,633301;2021-11-29
Roma;1717,614136;2021-11-29
Lazio;1703,111206;2021-11-29
Sassuolo;1674,645996;2021-11-29
Fiorentina;1635,479858;2021-11-29
Hellas Verona;1610,815674;2021-11-29
Udinese;1584,811279;2021-11-29
Torino;1591,688599;2021-11-29
Sampdoria;1611,203613;2021-11-29
Bologna;1602,201904;2021-11-29
Genoa;1560,575195;2021-11-29
Spezia;1504,281372;2021-11-29
Bologna;1602,201904;2021-11-30
Juventus;1820,309204;2021-12-01
Atalanta;1824,445801;2021-12-01
Fiorentina;1644,368652;2021-12-01
Hellas Verona;1607,526245;2021-12-01
Sampdoria;1602,314819;2021-12-01
Cagliari;1537,653076;2021-12-01
Venezia;1497,803711;2021-12-01
Salernitana;1443,964478;2021-12-01
Milan;1806,515991;2021-12-02
Internazionale;1887,307861;2021-12-02
Napoli;1808,964966;2021-12-02
Roma;1707,842407;2021-12-02
Lazio;1703,111206;2021-12-02
Sassuolo;1677,314209;2021-12-02
Hellas Verona;1607,526245;2021-12-02
Sampdoria;1602,314819;2021-12-02
Bologna;1611,973511;2021-12-02
Genoa;1554,550781;2021-12-02
Spezia;1502,873901;2021-12-02
Internazionale;1887,307861;2021-12-03
Lazio;1698,80542;2021-12-03
Fiorentina;1644,368652;2021-12-03
Udinese;1589,117065;2021-12-03
Torino;1589,572754;2021-12-03
Empoli;1560,899292;2021-12-03
Atalanta;1824,445801;2021-12-04
Fiorentina;1644,368652;2021-12-04
Hellas Verona;1607,526245;2021-12-04
Milan;1808,14502;2021-12-05
Internazionale;1895,234619;2021-12-05
Atalanta;1832,983154;2021-12-05
Napoli;1800,427612;2021-12-05
Roma;1699,915771;2021-12-05
Lazio;1698,80542;2021-12-05
Fiorentina;1644,368652;2021-12-05
Hellas Verona;1607,526245;2021-12-05
Bologna;1611,973511;2021-12-05
Salernitana;1442,335449;2021-12-05
Juventus;1823,17749;2021-12-06
Roma;1699,915771;2021-12-06
Lazio;1707,888184;2021-12-06
Sassuolo;1673,618652;2021-12-06
Fiorentina;1652,65332;2021-12-06
Hellas Verona;1613,800903;2021-12-06
Sampdoria;1593,232056;2021-12-06
Bologna;1603,688843;2021-12-06
Genoa;1551,682495;2021-12-06
Spezia;1506,56958;2021-12-06
Venezia;1491,529175;2021-12-06
Udinese;1577,944336;2021-12-07
Torino;1589,123779;2021-12-07
Bologna;1603,688843;2021-12-07
Cagliari;1538,102051;2021-12-07
Empoli;1572,072021;2021-12-07
Milan;1799,361694;2021-12-08
Juventus;1819,13916;2021-12-08
Internazionale;1883,894165;2021-12-08
Atalanta;1828,944824;2021-12-08
Napoli;1796,389282;2021-12-08
Roma;1695,877441;2021-12-08
Lazio;1703,849854;2021-12-08
Sassuolo;1669,580322;2021-12-08
Fiorentina;1648,61499;2021-12-08
Hellas Verona;1609,762573;2021-12-08
Udinese;1573,906006;2021-12-08
Torino;1585,085449;2021-12-08
Sampdoria;1589,193726;2021-12-08
Bologna;1599,650513;2021-12-08
Cagliari;1534,063721;2021-12-08
Empoli;1568,033691;2021-12-08
Genoa;1547,644165;2021-12-08
Spezia;1502,53125;2021-12-08
Venezia;1487,490845;2021-12-08
Salernitana;1438,297119;2021-12-08
Milan;1799,918579;2021-12-09
Juventus;1821,361206;2021-12-09
Internazionale;1884,45105;2021-12-09
Atalanta;1829,501709;2021-12-09
Napoli;1796,946167;2021-12-09
Roma;1696,434326;2021-12-09
Lazio;1704,406738;2021-12-09
Sassuolo;1670,137207;2021-12-09
Fiorentina;1649,171875;2021-12-09
Hellas Verona;1610,319458;2021-12-09
Udinese;1574,462891;2021-12-09
Torino;1585,642334;2021-12-09
Sampdoria;1589,75061;2021-12-09
Bologna;1600,207397;2021-12-09
Cagliari;1534,620605;2021-12-09
Empoli;1568,590576;2021-12-09
Genoa;1548,20105;2021-12-09
Spezia;1503,088135;2021-12-09
Venezia;1488,047729;2021-12-09
Salernitana;1438,854004;2021-12-09
Milan;1797,220337;2021-12-10
Juventus;1818,662964;2021-12-10
Internazionale;1881,752808;2021-12-10
Atalanta;1815,216064;2021-12-10
Napoli;1799,426025;2021-12-10
Roma;1697,561279;2021-12-10
Lazio;1696,13916;2021-12-10
Sassuolo;1667,438965;2021-12-10
Fiorentina;1646,473633;2021-12-10
Hellas Verona;1607,621216;2021-12-10
Udinese;1571,764771;2021-12-10
Torino;1582,944092;2021-12-10
Sampdoria;1587,052368;2021-12-10
Bologna;1597,509155;2021-12-10
Cagliari;1531,922485;2021-12-10
Empoli;1565,892334;2021-12-10
Genoa;1545,50293;2021-12-10
Spezia;1500,389893;2021-12-10
Venezia;1485,349487;2021-12-10
Salernitana;1436,155762;2021-12-10
Hellas Verona;1607,621216;2021-12-11
Sampdoria;1598,110352;2021-12-11
Bologna;1597,509155;2021-12-11
Genoa;1534,444946;2021-12-11
Milan;1792,253418;2021-12-12
Juventus;1811,724487;2021-12-12
Atalanta;1815,216064;2021-12-12
Roma;1697,561279;2021-12-12
Lazio;1696,13916;2021-12-12
Fiorentina;1652,059204;2021-12-12
Hellas Verona;1607,621216;2021-12-12
Udinese;1576,731689;2021-12-12
Sampdoria;1598,110352;2021-12-12
Venezia;1492,287964;2021-12-12
Salernitana;1430,570313;2021-12-12
Milan;1792,253418;2021-12-13
Internazionale;1884,278442;2021-12-13
Atalanta;1819,111816;2021-12-13
Napoli;1785,21106;2021-12-13
Lazio;1688,450195;2021-12-13
Sassuolo;1675,12793;2021-12-13
Hellas Verona;1603,725464;2021-12-13
Torino;1590,2771;2021-12-13
Bologna;1590,176147;2021-12-13
Cagliari;1529,396851;2021-12-13
Empoli;1580,1073;2021-12-13
Roma;1701,61792;2021-12-14
Fiorentina;1652,059204;2021-12-14
Spezia;1496,33313;2021-12-14
Sampdoria;1598,110352;2021-12-15
Juventus;1811,724487;2021-12-16
Atalanta;1819,111816;2021-12-16
Lazio;1688,450195;2021-12-16
Hellas Verona;1603,725464;2021-12-16
Internazionale;1886,570435;2021-12-18
Lazio;1693,518066;2021-12-18
Fiorentina;1652,059204;2021-12-18
Hellas Verona;1603,725464;2021-12-18
Genoa;1529,377075;2021-12-18
Salernitana;1428,278442;2021-12-18
Juventus;1817,008423;2021-12-19
Atalanta;1798,99231;2021-12-19
Napoli;1785,21106;2021-12-19
Roma;1721,737427;2021-12-19
Fiorentina;1652,059204;2021-12-19
Hellas Verona;1603,725464;2021-12-19
Udinese;1592,327026;2021-12-19
Sampdoria;1598,110352;2021-12-19
Bologna;1584,892212;2021-12-19
Cagliari;1513,801392;2021-12-19
Milan;1783,217041;2021-12-20
Internazionale;1886,570435;2021-12-20
Napoli;1794,247437;2021-12-20
Sassuolo;1675,42334;2021-12-20
Fiorentina;1651,763794;2021-12-20
Hellas Verona;1596,240356;2021-12-20
Torino;1597,762207;2021-12-20
Sampdoria;1594,306274;2021-12-20
Empoli;1578,665649;2021-12-20
Spezia;1497,77478;2021-12-20
Venezia;1496,092041;2021-12-20
Juventus;1819,477661;2021-12-22
Atalanta;1793,053711;2021-12-22
Hellas Verona;1596,240356;2021-12-22
Torino;1597,762207;2021-12-22
Cagliari;1511,332153;2021-12-22
Genoa;1535,315674;2021-12-22
Milan;1788,753662;2021-12-23
Internazionale;1888,416748;2021-12-23
Atalanta;1793,053711;2021-12-23
Napoli;1778,887695;2021-12-23
Roma;1717,428467;2021-12-23
Lazio;1699,29187;2021-12-23
Sassuolo;1656,49231;2021-12-23
Fiorentina;1651,108887;2021-12-23
Hellas Verona;1596,895386;2021-12-23
Torino;1595,915771;2021-12-23
Sampdoria;1598,615234;2021-12-23
Bologna;1603,823364;2021-12-23
Empoli;1573,129028;2021-12-23
Spezia;1513,134521;2021-12-23
Venezia;1490,318237;2021-12-23
Milan;1788,753662;2021-12-27
Atalanta;1793,053711;2021-12-27
Lazio;1699,29187;2021-12-27
Hellas Verona;1596,895386;2021-12-27
Torino;1595,915771;2021-12-27
Sampdoria;1598,615234;2021-12-27
Bologna;1603,823364;2021-12-27
Hellas Verona;1596,895386;2021-12-28
Torino;1595,915771;2021-12-28
Sampdoria;1598,615234;2021-12-28
Bologna;1603,823364;2021-12-28
Roma;1717,428467;2021-12-29
Sassuolo;1656,49231;2021-12-29
Fiorentina;1651,108887;2021-12-29
Hellas Verona;1596,895386;2021-12-29
Torino;1595,915771;2021-12-29
Sampdoria;1598,615234;2021-12-29
Roma;1717,428467;2022-01-01
Sassuolo;1656,49231;2022-01-01
Roma;1717,428467;2022-01-02
Lazio;1699,29187;2022-01-03
Sassuolo;1656,49231;2022-01-03
Hellas Verona;1596,895386;2022-01-03
Torino;1595,915771;2022-01-03
Lazio;1699,29187;2022-01-04
Sassuolo;1656,49231;2022-01-04
Fiorentina;1651,108887;2022-01-04
Milan;1796,335449;2022-01-07
Juventus;1817,496094;2022-01-07
Atalanta;1793,053711;2022-01-07
Napoli;1780,869263;2022-01-07
Roma;1709,846802;2022-01-07
Lazio;1695,09668;2022-01-07
Sassuolo;1652,416016;2022-01-07
Hellas Verona;1603,511108;2022-01-07
Torino;1595,915771;2022-01-07
Sampdoria;1587,669189;2022-01-07
Cagliari;1522,278198;2022-01-07
Empoli;1577,324341;2022-01-07
Genoa;1539,391968;2022-01-07
Spezia;1506,518799;2022-01-07
Lazio;1695,09668;2022-01-08
Lazio;1695,09668;2022-01-09
Hellas Verona;1603,511108;2022-01-09
Torino;1595,915771;2022-01-09
Bologna;1603,823364;2022-01-09
Milan;1800,349854;2022-01-10
Juventus;1823,362915;2022-01-10
Internazionale;1891,489014;2022-01-10
Atalanta;1800,822388;2022-01-10
Napoli;1783,966309;2022-01-10
Roma;1703,979858;2022-01-10
Lazio;1692,024414;2022-01-10
Sassuolo;1665,702515;2022-01-10
Fiorentina;1651,108887;2022-01-10
Hellas Verona;1590,4375;2022-01-10
Udinese;1584,55835;2022-01-10
Torino;1595,915771;2022-01-10
Sampdoria;1584,572144;2022-01-10
Empoli;1564,037842;2022-01-10
Genoa;1529,716187;2022-01-10
Spezia;1516,19458;2022-01-10
Venezia;1486,303711;2022-01-10
Salernitana;1441,351929;2022-01-10
Fiorentina;1633,422241;2022-01-11
Torino;1613,602417;2022-01-11
Bologna;1603,823364;2022-01-11
Roma;1703,979858;2022-01-12
Bologna;1594,373413;2022-01-12
Cagliari;1531,728149;2022-01-12
Bologna;1594,373413;2022-01-13
Juventus;1823,362915;2022-01-15
Juventus;1826,936768;2022-01-16
Roma;1703,979858;2022-01-16
Lazio;1697,228516;2022-01-16
Fiorentina;1633,422241;2022-01-16
Udinese;1580,984497;2022-01-16
Torino;1621,491699;2022-01-16
Sampdoria;1576,682861;2022-01-16
Bologna;1594,373413;2022-01-16
Salernitana;1436,147827;2022-01-16
Internazionale;1889,598633;2022-01-17
Atalanta;1802,712769;2022-01-17
Roma;1707,455566;2022-01-17
Lazio;1697,228516;2022-01-17
Sassuolo;1650,80957;2022-01-17
Hellas Verona;1605,330444;2022-01-17
Cagliari;1528,252441;2022-01-17
Empoli;1562,508667;2022-01-17
Venezia;1487,832764;2022-01-17
Milan;1785,300293;2022-01-18
Napoli;1789,65918;2022-01-18
Fiorentina;1645,529053;2022-01-18
Bologna;1588,680542;2022-01-18
Genoa;1517,609375;2022-01-18
Spezia;1531,244141;2022-01-18
Sassuolo;1650,80957;2022-01-19
Atalanta;1802,712769;2022-01-20
Roma;1707,455566;2022-01-20
Sassuolo;1650,80957;2022-01-20
Sassuolo;1650,80957;2022-01-21
Fiorentina;1645,529053;2022-01-21
Fiorentina;1645,529053;2022-01-22
Hellas Verona;1612,26123;2022-01-22
Torino;1621,491699;2022-01-22
Bologna;1581,749756;2022-01-22
Juventus;1826,936768;2022-01-23
Internazionale;1890,629028;2022-01-23
Atalanta;1800,370728;2022-01-23
Napoli;1789,65918;2022-01-23
Roma;1707,455566;2022-01-23
Lazio;1699,570679;2022-01-23
Hellas Verona;1612,26123;2022-01-23
Udinese;1579,81543;2022-01-23
Torino;1621,491699;2022-01-23
Genoa;1518,778442;2022-01-23
Venezia;1486,80249;2022-01-23
Milan;1785,841675;2022-01-24
Juventus;1826,395386;2022-01-24
Napoli;1792,018799;2022-01-24
Roma;1714,153198;2022-01-24
Lazio;1699,570679;2022-01-24
Sassuolo;1650,622192;2022-01-24
Fiorentina;1642,875122;2022-01-24
Hellas Verona;1612,26123;2022-01-24
Torino;1621,679077;2022-01-24
Sampdoria;1568,211792;2022-01-24
Cagliari;1530,906372;2022-01-24
Empoli;1555,811157;2022-01-24
Spezia;1539,715088;2022-01-24
Salernitana;1433,788208;2022-01-24
Hellas Verona;1612,26123;2022-01-25
Sassuolo;1650,622192;2022-01-30
Torino;1621,679077;2022-01-30
Fiorentina;1642,875122;2022-02-03
Lazio;1699,570679;2022-02-05
Hellas Verona;1612,26123;2022-02-05
Milan;1797,150635;2022-02-06
Internazionale;1879,320068;2022-02-06
Napoli;1792,018799;2022-02-06
Roma;1708,555054;2022-02-06
Lazio;1711,897095;2022-02-06
Sassuolo;1650,622192;2022-02-06
Fiorentina;1630,548706;2022-02-06
Torino;1621,679077;2022-02-06
Genoa;1524,376587;2022-02-06
Juventus;1830,526733;2022-02-07
Atalanta;1785,605103;2022-02-07
Napoli;1795,244995;2022-02-07
Sassuolo;1631,94812;2022-02-07
Hellas Verona;1608,129883;2022-02-07
Udinese;1591,817505;2022-02-07
Torino;1609,677002;2022-02-07
Sampdoria;1586,885986;2022-02-07
Bologna;1580,339722;2022-02-07
Cagliari;1545,671997;2022-02-07
Empoli;1557,221191;2022-02-07
Venezia;1483,576294;2022-02-07
Spezia;1537,433472;2022-02-08
Salernitana;1436,069946;2022-02-08
Milan;1797,150635;2022-02-10
Napoli;1795,244995;2022-02-10
Internazionale;1877,647217;2022-02-13
Napoli;1796,917725;2022-02-13
Roma;1708,555054;2022-02-13
Lazio;1719,143188;2022-02-13
Sassuolo;1631,94812;2022-02-13
Fiorentina;1630,548706;2022-02-13
Hellas Verona;1608,129883;2022-02-13
Torino;1597,727539;2022-02-13
Bologna;1573,093506;2022-02-13
Venezia;1495,525635;2022-02-13
Milan;1800,009155;2022-02-14
Juventus;1830,019775;2022-02-14
Atalanta;1786,112061;2022-02-14
Roma;1707,145142;2022-02-14
Sassuolo;1633,358032;2022-02-14
Fiorentina;1630,548706;2022-02-14
Hellas Verona;1621,874023;2022-02-14
Udinese;1578,073242;2022-02-14
Sampdoria;1584,027588;2022-02-14
Cagliari;1546,7854;2022-02-14
Empoli;1556,107788;2022-02-14
Genoa;1521,16687;2022-02-14
Salernitana;1439,279541;2022-02-14
Lazio;1719,143188;2022-02-15
Sassuolo;1633,358032;2022-02-15
Fiorentina;1636,849121;2022-02-15
Spezia;1531,133057;2022-02-15
Fiorentina;1636,849121;2022-02-16
Hellas Verona;1621,874023;2022-02-16
Milan;1797,804565;2022-02-17
Juventus;1827,815186;2022-02-17
Internazionale;1868,984619;2022-02-17
Atalanta;1783,907471;2022-02-17
Napoli;1794,713135;2022-02-17
Roma;1704,940552;2022-02-17
Lazio;1716,938721;2022-02-17
Sassuolo;1631,153442;2022-02-17
Fiorentina;1634,644531;2022-02-17
Hellas Verona;1619,669434;2022-02-17
Udinese;1575,868652;2022-02-17
Torino;1595,522949;2022-02-17
Sampdoria;1581,822998;2022-02-17
Bologna;1570,888916;2022-02-17
Cagliari;1544,580811;2022-02-17
Empoli;1553,903198;2022-02-17
Genoa;1518,96228;2022-02-17
Spezia;1528,928589;2022-02-17
Venezia;1493,321167;2022-02-17
Salernitana;1437,074951;2022-02-17
Milan;1798,735107;2022-02-18
Juventus;1828,745728;2022-02-18
Internazionale;1869,915161;2022-02-18
Atalanta;1787,239014;2022-02-18
Napoli;1798,035767;2022-02-18
Roma;1705,871094;2022-02-18
Lazio;1715,824341;2022-02-18
Sassuolo;1632,083984;2022-02-18
Fiorentina;1635,575073;2022-02-18
Hellas Verona;1620,599976;2022-02-18
Udinese;1576,799194;2022-02-18
Torino;1596,453491;2022-02-18
Sampdoria;1582,75354;2022-02-18
Bologna;1571,819458;2022-02-18
Cagliari;1545,511353;2022-02-18
Empoli;1554,83374;2022-02-18
Genoa;1519,892822;2022-02-18
Spezia;1529,859131;2022-02-18
Venezia;1494,251709;2022-02-18
Salernitana;1438,005493;2022-02-18
Juventus;1822,466553;2022-02-19
Torino;1602,732666;2022-02-19
Milan;1791,246948;2022-02-20
Juventus;1822,466553;2022-02-20
Atalanta;1787,239014;2022-02-20
Napoli;1798,035767;2022-02-20
Roma;1702,835327;2022-02-20
Sassuolo;1632,083984;2022-02-20
Fiorentina;1635,575073;2022-02-20
Hellas Verona;1623,635742;2022-02-20
Sampdoria;1592,022705;2022-02-20
Empoli;1545,564575;2022-02-20
Salernitana;1445,493652;2022-02-20
Internazionale;1850,138916;2022-02-21
Atalanta;1776,082886;2022-02-21
Roma;1702,835327;2022-02-21
Lazio;1712,648071;2022-02-21
Sassuolo;1651,860229;2022-02-21
Fiorentina;1646,731201;2022-02-21
Udinese;1579,975464;2022-02-21
Torino;1602,732666;2022-02-21
Genoa;1519,866333;2022-02-21
Venezia;1494,278198;2022-02-21
Napoli;1792,2771;2022-02-22
Bologna;1578,109741;2022-02-22
Cagliari;1551,27002;2022-02-22
Spezia;1523,568848;2022-02-22
Milan;1791,875732;2022-02-23
Juventus;1824,953125;2022-02-23
Internazionale;1850,7677;2022-02-23
Atalanta;1776,71167;2022-02-23
Napoli;1792,905884;2022-02-23
Roma;1703,464111;2022-02-23
Lazio;1713,276855;2022-02-23
Sassuolo;1652,489014;2022-02-23
Fiorentina;1647,359985;2022-02-23
Hellas Verona;1624,264526;2022-02-23
Udinese;1580,604248;2022-02-23
Torino;1603,36145;2022-02-23
Sampdoria;1592,651489;2022-02-23
Bologna;1578,738525;2022-02-23
Cagliari;1551,898804;2022-02-23
Empoli;1546,193359;2022-02-23
Genoa;1520,495117;2022-02-23
Spezia;1524,197632;2022-02-23
Venezia;1494,906982;2022-02-23
Salernitana;1446,122437;2022-02-23
Milan;1791,875732;2022-02-24
Napoli;1792,905884;2022-02-24
Roma;1703,464111;2022-02-24
Lazio;1713,276855;2022-02-24
Hellas Verona;1624,264526;2022-02-24
Milan;1789,453979;2022-02-25
Juventus;1822,531372;2022-02-25
Internazionale;1848,345947;2022-02-25
Atalanta;1784,913452;2022-02-25
Napoli;1776,492676;2022-02-25
Roma;1701,042358;2022-02-25
Lazio;1707,013672;2022-02-25
Sassuolo;1650,067261;2022-02-25
Fiorentina;1644,938232;2022-02-25
Hellas Verona;1621,842773;2022-02-25
Udinese;1578,182495;2022-02-25
Torino;1600,939697;2022-02-25
Sampdoria;1590,229736;2022-02-25
Bologna;1576,316772;2022-02-25
Cagliari;1549,476929;2022-02-25
Empoli;1543,771606;2022-02-25
Genoa;1518,073364;2022-02-25
Spezia;1521,775757;2022-02-25
Venezia;1492,485229;2022-02-25
Salernitana;1443,700562;2022-02-25
Milan;1783,516113;2022-02-26
Internazionale;1841,305908;2022-02-26
Atalanta;1784,913452;2022-02-26
Roma;1701,042358;2022-02-26
Lazio;1707,013672;2022-02-26
Fiorentina;1644,938232;2022-02-26
Hellas Verona;1621,842773;2022-02-26
Udinese;1584,120361;2022-02-26
Torino;1600,939697;2022-02-26
Genoa;1525,113403;2022-02-26
Juventus;1825,177368;2022-02-27
Roma;1701,042358;2022-02-27
Sassuolo;1657,124878;2022-02-27
Fiorentina;1637,880493;2022-02-27
Bologna;1573,348267;2022-02-27
Empoli;1541,12561;2022-02-27
Salernitana;1446,669067;2022-02-27
Juventus;1825,177368;2022-02-28
Napoli;1783,389038;2022-02-28
Roma;1705,299561;2022-02-28
Lazio;1700,117432;2022-02-28
Sassuolo;1657,124878;2022-02-28
Hellas Verona;1627,910522;2022-02-28
Torino;1590,826172;2022-02-28
Cagliari;1559,590576;2022-02-28
Spezia;1517,518555;2022-02-28
Venezia;1486,417358;2022-02-28
Atalanta;1790,957764;2022-03-01
Hellas Verona;1627,910522;2022-03-01
Sampdoria;1584,185425;2022-03-01
Roma;1705,299561;2022-03-02
Internazionale;1843,587891;2022-03-05
Salernitana;1444,387085;2022-03-05
Milan;1783,516113;2022-03-06
Atalanta;1781,795898;2022-03-06
Napoli;1783,389038;2022-03-06
Roma;1714,461426;2022-03-06
Lazio;1709,229248;2022-03-06
Sassuolo;1657,124878;2022-03-06
Fiorentina;1637,880493;2022-03-06
Hellas Verona;1627,910522;2022-03-06
Udinese;1591,286621;2022-03-06
Sampdoria;1577,019043;2022-03-06
Cagliari;1550,478638;2022-03-06
Milan;1792,375488;2022-03-07
Juventus;1826,886841;2022-03-07
Internazionale;1843,587891;2022-03-07
Atalanta;1781,795898;2022-03-07
Napoli;1774,529663;2022-03-07
Roma;1714,461426;2022-03-07
Lazio;1709,229248;2022-03-07
Sassuolo;1665,034668;2022-03-07
Fiorentina;1636,714233;2022-03-07
Hellas Verona;1629,076904;2022-03-07
Torino;1591,207642;2022-03-07
Bologna;1572,966797;2022-03-07
Empoli;1541,549194;2022-03-07
Genoa;1524,689819;2022-03-07
Spezia;1515,809082;2022-03-07
Venezia;1478,50769;2022-03-07
