Matchweek,Match_Date,Home_Team,Away_Team,Win,log_ratio_Value,Cup_Home,Cup_Away,Winvalue,Home_Performance,Away_Performance,Home_Diff_Goals,Away_Diff_Goals,Aprob_TMValue_Costant,Dprob_TMValue_Costant,Hprob_TMValue_Costant,TMValue_Costant_pred,ln_TM_Home,ln_TM_Away,log_ratio_ln_TM
7,2021-10-02,Torino,Juventus,A,-1.012978979421876,0,1,0,-1.0,0.0,3,0,0.5833378847743014,0.26320657808458736,0.15345553714111126,A,92111111.1111111,293377777.7777778,-1.1584655446793208
7,2021-10-02,Sassuolo,Internazionale,A,-0.9856207708976609,0,1,0,-1.0,1.5,-1,13,0.4828860584828506,0.3034161500874525,0.21369779142969691,A,127183333.33333333,408827777.7777778,-1.1676643710677468
8,2021-10-16,Milan,Hellas Verona,H,1.3873236090021577,0,0,2,2.0,-1.0,10,1,0.13220841466025687,0.24291218413145785,0.6248794012082852,H,224694444.44444445,67884444.44444445,1.1969345413179333
8,2021-10-17,Udinese,Bologna,D,-0.3239416166949775,0,0,1,-2.0,0.0,-2,-2,0.3044470353214365,0.3285395589869626,0.36701340569160085,H,58383333.333333336,88405555.55555555,-0.4149043523445872
8,2021-10-17,Napoli,Torino,H,0.8999186196942653,0,0,2,2.0,-2.0,15,2,0.27159825660678377,0.32341567054829673,0.40498607284491944,H,353344444.4444444,78011111.11111112,1.5105920777974675
8,2021-10-18,Venezia,Fiorentina,H,-0.9730568970487301,0,0,2,-2.0,1.0,-7,-1,0.4484118425466988,0.3136779971074534,0.23791016034584783,A,47594444.44444445,160777777.7777778,-1.2173071082214308
8,2021-10-17,Empoli,Atalanta,A,-1.4786082446251905,0,0,0,-1.0,0.0,-3,1,0.7224886166399065,0.18868911696853985,0.08882226639155366,A,49430000.0,205388888.8888889,-1.4243476737215992
8,2021-10-17,Genoa,Sassuolo,D,-0.6419511671686289,0,0,1,-2.0,-2.0,-6,-2,0.5221939312100865,0.2893532726391099,0.18845279615080357,A,32555555.555555556,124432222.22222222,-1.3408131361630198
8,2021-10-16,Spezia,Salernitana,H,0.2276178317091309,0,0,2,-2.0,-1.0,-11,-10,0.2115915111241879,0.30238038488664704,0.486028103989165,H,34047777.777777776,11788888.888888888,1.0606072986806616
8,2021-10-17,Juventus,Roma,H,0.37148852393675663,0,0,2,1.0,2.0,1,8,0.18094558383431114,0.2844365699912168,0.5346178461744721,H,194588888.8888889,244222222.2222222,-0.22718948668494787
8,2021-10-17,Cagliari,Sampdoria,H,0.22604350501399967,0,0,2,-2.0,-2.0,-8,-3,0.2558639164428394,0.31947861899848456,0.4246574645586761,H,83855555.55555555,45484444.44444445,0.6117253547939863
8,2021-10-16,Lazio,Internazionale,H,-0.7226206715014117,0,0,2,0.0,2.0,3,14,0.42629005672170145,0.3191155707619357,0.2545943725163629,A,176902222.2222222,335022222.2222222,-0.6385997015048699
9,2021-10-23,Salernitana,Empoli,A,-0.44042240522816123,0,0,0,-2.0,-2.0,-11,-6,0.4552057407295798,0.3118217487727419,0.23297251049767836,A,10460000.0,56866666.666666664,-1.6931508877526922
9,2021-10-24,Hellas Verona,Lazio,H,-0.8307838823920871,0,1,2,-2.0,1.0,0,5,0.40212057421291114,0.32391957973925645,0.2739598460478324,A,80458888.8888889,158766666.6666667,-0.6796892621967685
9,2021-10-24,Atalanta,Udinese,D,1.3027548283524377,1,0,1,1.0,-2.0,4,-2,0.1457999966168248,0.2563129941589955,0.5978870092241797,H,187055555.55555555,55483333.333333336,1.2153229859119854
9,2021-10-24,Internazionale,Juventus,D,-0.027747237900839185,1,1,1,1.0,2.0,12,2,0.27327685285943715,0.3237761125480386,0.40294703459252423,H,395227777.7777778,189066666.66666666,0.7373625647530614
9,2021-10-22,Sampdoria,Spezia,H,0.3891421340762339,0,0,2,-2.0,-1.0,-5,-10,0.17791258133436866,0.2823480319503968,0.5397393867152345,H,43530000.0,35991111.11111111,0.19017836117651976
9,2021-10-24,Fiorentina,Cagliari,H,0.5847791438381638,0,0,2,0.0,-1.0,-2,-6,0.21386597560828285,0.3034978247093782,0.482636199682339,H,177116666.6666667,82816666.66666667,0.7601793197703747
9,2021-10-22,Torino,Genoa,H,0.6423401965452529,0,0,2,-2.0,-2.0,1,-6,0.16490139393936076,0.2726904505062472,0.562408155554392,H,93788888.8888889,39555555.55555555,0.8633402401376439
9,2021-10-23,Bologna,Milan,A,-1.18437751105121,0,1,0,-0.5,2.0,-2,11,0.5488017988841408,0.27856678995888906,0.17263141115697012,A,78633333.33333333,196961111.1111111,-0.9182106059780785
9,2021-10-24,Roma,Napoli,D,-0.25842816420914616,1,1,1,1.0,2.0,7,16,0.33833373305215586,0.32997206455265027,0.33169420239519387,A,262722222.2222222,355633333.3333333,-0.30280295278159475
9,2021-10-23,Sassuolo,Venezia,H,0.850529405651984,0,0,2,-2.0,-1.0,-2,-6,0.10477577304465696,0.21084068689865776,0.6843835400566852,H,136200000.0,39137777.777777776,1.247036209604133
10,2021-10-27,Sampdoria,Atalanta,A,-1.3022706840679872,0,0,0,-1.0,0.5,-4,4,0.6454428386975403,0.23220349768938686,0.12235366361307287,A,42542222.222222224,199711111.1111111,-1.5463748310642098
10,2021-10-28,Napoli,Bologna,H,1.26514533411578,0,0,2,1.5,-1.5,16,-4,0.1520890097647042,0.26200924541806503,0.5859017448172308,H,342702222.2222222,88266666.66666666,1.3564993779183185
10,2021-10-27,Lazio,Fiorentina,H,0.1404726079995029,0,0,2,0.0,1.0,2,1,0.23126126160039898,0.3111510258924163,0.4575877125071848,H,190333333.33333334,174938888.8888889,0.08434021440032838
10,2021-10-26,Venezia,Salernitana,A,0.4545257175887979,0,0,0,-2.0,-2.0,-8,-13,0.20230004317632508,0.29752003763215007,0.5001799191915248,H,34942222.222222224,12200000.0,1.0522599520381748
10,2021-10-26,Spezia,Genoa,D,-0.4354861243630222,0,0,1,-2.0,-2.0,-11,-7,0.4535752952819009,0.3122749328771709,0.23414977184092822,A,36617777.777777776,31397777.777777776,0.15379673510972752
10,2021-10-26,Milan,Torino,H,0.8191507966296955,0,0,2,2.0,-1.0,13,2,0.24515782644424758,0.3161950390104826,0.4386471345452698,H,262427777.77777776,100105555.55555555,0.9637507270641142
10,2021-10-27,Cagliari,Roma,A,-1.1041311373031608,0,0,0,-2.0,0.5,-9,7,0.5225795386143528,0.2892039219090248,0.18821653947662242,A,70166666.66666666,257555555.55555555,-1.3003620821091513
10,2021-10-27,Empoli,Internazionale,A,-1.8502534889102813,0,0,0,-1.0,0.5,-4,12,0.7906973241612331,0.14635260783419335,0.06295006800457359,A,55355555.55555555,325616666.6666667,-1.7719437948776742
