League;Gender;Country;Season;Match_Date;Matchweek;Home_Team;Home_Formation;Home_Score;Home_xG;Home_Goals;Home_Yellow_Cards;Home_Red_Cards;Away_Team;Away_Formation;Away_Score;Away_xG;Away_Goals;Away_Yellow_Cards;Away_Red_Cards;Game_URL;Team;Home_Away;Min;Gls;Ast;PK;PKatt;Sh;SoT;CrdY;CrdR;Touches;Press;Tkl;Int;Blocks;xG_Expected;npxG_Expected;xA_Expected;SCA_SCA;GCA_SCA;Cmp_Passes;Att_Passes;Cmp_percent_Passes;Prog_Passes;Carries_Carries;Prog_Carries;Succ_Dribbles;Att_Dribbles;Cmp_Total;Att_Total;Cmp_percent_Total;TotDist_Total;PrgDist_Total;Cmp_Short;Att_Short;Cmp_percent_Short;Cmp_Medium;Att_Medium;Cmp_percent_Medium;Cmp_Long;Att_Long;Cmp_percent_Long;Ast_1;xA;KP;Final_Third;PPA;CrsPA;Prog;Att;Live_Pass_Types;Dead_Pass_Types;FK_Pass_Types;TB_Pass_Types;Press_Pass_Types;Sw_Pass_Types;Crs_Pass_Types;CK_Pass_Types;In_Corner_Kicks;Out_Corner_Kicks;Str_Corner_Kicks;Ground_Height;Low_Height;High_Height;Left_Body_Parts;Right_Body_Parts;Head_Body_Parts;TI_Body_Parts;Other_Body_Parts;Cmp_Outcomes;Off_Outcomes;Out_Outcomes;Int_Outcomes;Blocks_Outcomes;Tkl_Tackles;TklW_Tackles;Def 3rd_Tackles;Mid 3rd_Tackles;Att 3rd_Tackles;Tkl_Vs_Dribbles;Att_Vs_Dribbles;Tkl_percent_Vs_Dribbles;Past_Vs_Dribbles;Press_Pressures;Succ_Pressures;percent_Pressures;Def 3rd_Pressures;Mid 3rd_Pressures;Att 3rd_Pressures;Blocks_Blocks;Sh_Blocks;ShSv_Blocks;Pass_Blocks;Int_2;Tkl+Int;Clr;Err;Touches_Touches;Def Pen_Touches;Def 3rd_Touches;Mid 3rd_Touches;Att 3rd_Touches;Att Pen_Touches;Live_Touches;Succ_Dribbles_3;Att_Dribbles_4;Succ_percent_Dribbles;Player_NumPl_Dribbles;Megs_Dribbles;Carries_Carries_5;TotDist_Carries;PrgDist_Carries;Prog_Carries_6;Final_Third_Carries;CPA_Carries;Mis_Carries;Dis_Carries;Targ_Receiving;Rec_Receiving;Rec_percent_Receiving;Prog_Receiving;CrdY_7;CrdR_8;2CrdY;Fls_9;Fld_10;Off_11;Crs_12;Int_13;TklW_14;PKwon_15;PKcon_16;OG_17;Recov;Won_Aerial_Duels;Lost_Aerial_Duels;Won_percent_Aerial_Duels;Cup;Cup_Home;Cup_Away
Serie A;M;ITA;2021-2022;2021-08-22;1;Bologna;4-2-3-1;3;1,5;"
		
			Roberto Soriano · 50&rsquor; 
		
			Lorenzo De Silvestri · 59&rsquor; 
		
			Marko Arnautovi_ · 75&rsquor; 
		
			Lorenzo De Silvestri · 77&rsquor; 
		
			Jerdy Schouten · 89&rsquor; 
		
	";6;2;Salernitana;03/05/02;2;1,6;"
		
			 Stefan Strandberg · 34&rsquor;
		
			 Federico Bonazzoli (P) · 52&rsquor;
		
			 Mamadou Coulibaly · 70&rsquor;
		
	";3;1;https://fbref.com/en/matches/015e7a96/Bologna-Salernitana-August-22-2021-Serie-A;Bologna;Home;947;3;3;0;0;18;7;6;2;696;64;13;8;13;1,5;1,5;1,2;28;6;485;588;82,5;38;430;64;6;13;485;588;82,5;8629;2694;227;254;89,4;195;230;84,8;53;81;65,4;3;1,2;11;36;8;1;38;588;537;51;15;1;60;16;8;9;8;0;0;408;74;106;132;374;46;18;5;485;0;15;6;12;13;7;4;5;4;1;6;16,7;5;64;25;39,1;20;30;14;13;4;0;9;8;21;18;0;696;54;170;388;187;21;645;6;13;46,2;6;0;430;2816;1474;64;13;3;10;11;554;485;87,5;38;6;2;2;11;14;0;8;8;7;0;0;0;96;20;21;48,8;0;0;0
Serie A;M;ITA;2021-2022;2021-08-22;1;Bologna;4-2-3-1;3;1,5;"
		
			Roberto Soriano · 50&rsquor; 
		
			Lorenzo De Silvestri · 59&rsquor; 
		
			Marko Arnautovi_ · 75&rsquor; 
		
			Lorenzo De Silvestri · 77&rsquor; 
		
			Jerdy Schouten · 89&rsquor; 
		
	";6;2;Salernitana;03/05/02;2;1,6;"
		
			 Stefan Strandberg · 34&rsquor;
		
			 Federico Bonazzoli (P) · 52&rsquor;
		
			 Mamadou Coulibaly · 70&rsquor;
		
	";3;1;https://fbref.com/en/matches/015e7a96/Bologna-Salernitana-August-22-2021-Serie-A;Salernitana;Away;933;2;0;1;1;9;3;3;1;348;118;18;7;20;1,6;0,8;0,3;12;2;130;233;55,8;11;146;16;5;6;130;233;55,8;2599;1274;60;88;68,2;46;69;66,7;22;65;33,8;0;0,3;4;11;3;2;11;233;181;52;10;0;42;7;8;4;0;3;1;83;32;118;54;105;21;27;3;130;3;7;7;9;18;12;7;9;2;7;13;53,8;6;118;32;27,1;52;48;18;20;8;0;12;7;25;34;1;348;52;122;150;93;17;296;5;6;83,3;5;0;146;869;448;16;8;2;6;12;181;130;71,8;11;3;1;1;14;13;2;8;7;12;1;0;0;73;21;20;51,2;0;0;0
Serie A;M;ITA;2021-2022;2021-08-22;1;Napoli;04/03/03;2;2,3;"
		
			Victor Osimhen · 23&rsquor; 
		
			Lorenzo Insigne (P) · 62&rsquor; 
		
			Elif Elmas · 73&rsquor; 
		
	";1;1;Venezia;04/03/03;0;0,5;"
		
	";7;0;https://fbref.com/en/matches/cca0edfd/Napoli-Venezia-August-22-2021-Serie-A;Napoli;Home;922;2;0;1;2;11;3;1;1;676;108;20;13;12;2,3;0,8;0,5;21;1;520;586;88,7;33;472;61;7;13;520;586;88,7;10375;2462;189;215;87,9;252;270;93,3;75;96;78,1;0;0,5;6;33;6;1;33;586;543;43;18;0;22;19;6;2;1;0;0;435;90;61;225;328;8;14;8;520;2;7;12;6;20;16;7;9;4;8;13;61,5;5;108;31;28,7;32;39;37;12;0;0;12;13;33;7;0;676;60;187;363;162;18;630;7;13;53,8;7;1;472;2654;1461;61;15;4;2;4;578;520;90;33;1;1;0;4;21;3;6;13;16;0;0;0;43;4;5;44,4;0;0;0
Serie A;M;ITA;2021-2022;2021-08-22;1;Napoli;04/03/03;2;2,3;"
		
			Victor Osimhen · 23&rsquor; 
		
			Lorenzo Insigne (P) · 62&rsquor; 
		
			Elif Elmas · 73&rsquor; 
		
	";1;1;Venezia;04/03/03;0;0,5;"
		
	";7;0;https://fbref.com/en/matches/cca0edfd/Napoli-Venezia-August-22-2021-Serie-A;Venezia;Away;990;0;0;0;0;8;4;7;0;531;90;10;12;11;0,5;0,5;0,5;13;0;395;454;87;26;402;58;5;13;395;454;87;7618;2055;152;170;89,4;192;202;95;49;69;71;0;0,5;7;22;8;3;26;454;420;34;8;0;38;9;12;2;1;1;0;357;40;57;150;270;11;14;4;395;1;5;13;12;10;9;3;5;2;6;13;46,2;7;90;21;23,3;35;33;22;11;5;0;6;12;22;5;0;531;70;193;258;125;18;497;5;13;38,5;5;0;402;2385;1445;58;19;5;9;12;451;395;87,6;26;7;0;0;23;3;1;12;12;9;0;2;0;51;5;4;55,6;0;0;0
Serie A;M;ITA;2021-2022;2021-08-22;1;Roma;4-2-3-1;3;2,7;"
		
			Henrikh Mkhitaryan · 26&rsquor; 
		
			Nicolò Zaniolo · 52&rsquor; 
		
			Jordan Veretout · 64&rsquor; 
		
			Jordan Veretout · 79&rsquor; 
		
	";3;1;Fiorentina;04/03/03;1;1,2;"
		
			 Bart_omiej Dr_gowski · 17&rsquor;
		
			 Nikola Milenkovi_ · 60&rsquor;
		
	";2;1;https://fbref.com/en/matches/dabdad9f/Roma-Fiorentina-August-22-2021-Serie-A;Roma;Home;951;3;3;0;0;11;6;3;1;490;136;11;9;9;2,7;2,7;2,3;15;5;334;407;82,1;24;284;23;7;15;334;407;82,1;6848;2329;127;146;87;146;161;90,7;60;90;66,7;3;2,3;8;18;4;0;24;407;363;44;17;5;42;9;6;4;1;2;0;284;56;67;102;262;7;18;9;334;3;4;11;8;11;8;8;3;0;4;9;44,4;5;136;48;35,3;52;60;24;9;1;0;8;9;20;15;0;490;64;188;227;98;17;449;7;15;46,7;7;1;284;1478;692;23;8;2;10;2;397;334;84,1;24;3;1;1;13;14;4;6;9;8;0;0;0;53;10;12;45,5;1;1;0
Serie A;M;ITA;2021-2022;2021-08-22;1;Roma;4-2-3-1;3;2,7;"
		
			Henrikh Mkhitaryan · 26&rsquor; 
		
			Nicolò Zaniolo · 52&rsquor; 
		
			Jordan Veretout · 64&rsquor; 
		
			Jordan Veretout · 79&rsquor; 
		
	";3;1;Fiorentina;04/03/03;1;1,2;"
		
			 Bart_omiej Dr_gowski · 17&rsquor;
		
			 Nikola Milenkovi_ · 60&rsquor;
		
	";2;1;https://fbref.com/en/matches/dabdad9f/Roma-Fiorentina-August-22-2021-Serie-A;Fiorentina;Away;916;1;1;0;0;11;8;2;1;646;103;10;11;8;1,2;1,2;1,2;19;2;498;564;88,3;49;443;51;2;9;498;564;88,3;10122;3157;173;190;91,1;234;257;91,1;81;96;84,4;1;1,2;10;44;11;2;49;564;515;49;16;0;67;14;10;4;0;2;1;434;61;69;231;277;20;19;8;498;2;6;9;8;10;6;6;4;0;8;15;53,3;7;103;23;22,3;39;44;20;8;0;0;8;11;21;7;0;646;52;202;347;146;23;600;2;9;22,2;5;1;443;2242;1110;51;15;3;19;7;560;498;88,9;49;2;1;0;14;14;2;10;11;6;0;0;0;58;12;10;54,5;0;1;0
Serie A;M;ITA;2021-2022;2021-08-23;1;Cagliari;03/04/03;2;2,7;"
		
			João Pedro · 62&rsquor; 
		
			João Pedro (P) · 66&rsquor; 
		
	";2;0;Spezia;03/04/03;2;0,8;"
		
			 Emmanuel Gyasi · 7&rsquor;
		
			 Simone Bastoni · 58&rsquor;
		
	";3;0;https://fbref.com/en/matches/b2c86bfc/Cagliari-Spezia-August-23-2021-Serie-A;Cagliari;Home;990;2;1;1;1;19;6;2;0;634;121;15;12;6;2,7;1,9;1,2;31;4;409;519;78,8;34;348;35;9;14;409;519;78,8;7921;2941;161;184;87,5;180;197;91,4;61;115;53;1;1,2;12;39;12;3;34;519;459;60;17;0;51;8;13;11;5;6;0;359;56;104;196;263;16;21;9;409;1;13;15;17;15;12;8;5;2;2;7;28,6;5;121;41;33,9;34;57;30;6;3;0;3;12;27;29;0;634;69;189;304;175;33;577;9;14;64,3;9;0;348;2277;1019;35;11;3;13;4;499;409;82;34;2;0;0;17;15;1;13;12;12;1;0;0;92;22;18;55;0;0;0
Serie A;M;ITA;2021-2022;2021-08-23;1;Cagliari;03/04/03;2;2,7;"
		
			João Pedro · 62&rsquor; 
		
			João Pedro (P) · 66&rsquor; 
		
	";2;0;Spezia;03/04/03;2;0,8;"
		
			 Emmanuel Gyasi · 7&rsquor;
		
			 Simone Bastoni · 58&rsquor;
		
	";3;0;https://fbref.com/en/matches/b2c86bfc/Cagliari-Spezia-August-23-2021-Serie-A;Spezia;Away;990;2;2;0;0;12;4;3;0;501;124;8;17;24;0,8;0,8;0,7;20;4;275;356;77,2;27;269;29;5;8;275;356;77,2;5193;1896;107;127;84,3;139;158;88;27;66;40,9;2;0,7;9;22;5;1;27;356;308;48;16;0;55;2;11;4;0;2;0;239;42;75;98;220;11;12;9;275;2;10;12;3;8;3;4;3;1;4;13;30,8;9;124;22;17,7;39;66;19;24;7;2;17;17;25;36;1;501;79;209;208;108;12;456;5;8;62,5;5;0;269;1368;723;29;8;2;15;13;336;275;81,8;27;3;0;0;18;15;4;11;17;3;0;1;0;79;18;22;45;0;0;0
Serie A;M;ITA;2021-2022;2021-08-23;1;Sampdoria;04/04/02;0;1;"
		
	";3;0;Milan;4-2-3-1;1;1,1;"
		
			 Brahim Díaz · 9&rsquor;
		
	";1;0;https://fbref.com/en/matches/2e04a6c0/Sampdoria-Milan-August-23-2021-Serie-A;Sampdoria;Home;990;0;0;0;0;16;3;3;0;560;153;20;16;12;1;1;0,4;22;0;334;432;77,3;38;332;30;6;9;334;432;77,3;6707;2770;132;157;84,1;137;166;82,5;57;92;62;0;0,4;10;31;8;3;38;432;379;53;15;1;93;17;18;8;1;2;0;266;47;119;117;261;17;18;11;334;2;9;19;12;20;12;10;5;5;9;17;52,9;8;153;46;30,1;39;74;40;12;2;0;10;16;36;32;0;560;70;200;241;151;27;507;6;9;66,7;6;0;332;1522;783;30;14;1;10;15;419;334;79,7;38;3;0;0;20;14;3;18;16;12;0;0;0;77;22;14;61,1;0;0;0
Serie A;M;ITA;2021-2022;2021-08-23;1;Sampdoria;04/04/02;0;1;"
		
	";3;0;Milan;4-2-3-1;1;1,1;"
		
			 Brahim Díaz · 9&rsquor;
		
	";1;0;https://fbref.com/en/matches/2e04a6c0/Sampdoria-Milan-August-23-2021-Serie-A;Milan;Away;990;1;1;0;0;11;4;1;0;569;164;18;20;19;1,1;1,1;0,7;12;1;349;442;79;25;344;33;6;17;349;442;79;6135;2357;166;183;90,7;123;149;82,6;43;83;51,8;1;0,7;7;20;7;1;25;442;397;45;20;1;61;6;11;3;0;2;0;317;33;92;127;273;10;13;7;349;3;7;16;10;18;13;4;9;5;3;9;33,3;6;164;56;34,1;37;80;47;19;7;0;12;20;38;18;1;569;86;200;264;132;21;525;6;17;35,3;8;1;344;1849;1031;33;10;5;10;11;412;349;84,7;25;1;0;0;15;19;3;11;20;13;0;0;0;68;14;22;38,9;0;0;0
