Date;Home_Team;Away_Team;Home_Goals;Away_Goals;Win_Home_Bet;Draw_Bet;Win_Away_Bet
27/10/21;Juventus;Sassuolo;1;2;1.44;4.75;6.5
27/10/21;Udinese;Hellas Verona;1;1;2.4;3.4;2.9
28/10/21;Napoli;Bologna;3;0;1.3;5.5;9.5
30/10/21;Torino;Sampdoria;3;0;1.9;3.75;3.8
30/10/21;Hellas Verona;Juventus;2;1;4;3.8;1.85
30/10/21;Atalanta;Lazio;2;2;1.9;3.8;3.8
31/10/21;Internazionale;Udinese;2;0;1.36;5;8.5
31/10/21;Salernitana;Napoli;0;1;10;5.5;1.3
31/10/21;Roma;Milan;1;2;2.3;3.5;3
31/10/21;Sassuolo;Empoli;1;2;1.75;4.1;4.2
31/10/21;Fiorentina;Spezia;3;0;1.53;4.5;5.75
31/10/21;Genoa;Venezia;0;0;2.05;3.4;3.75
01/11/21;Bologna;Cagliari;2;0;1.8;3.6;4.5
05/11/21;Empoli;Genoa;2;2;2.1;3.75;3.2
06/11/21;Cagliari;Atalanta;1;2;6;4.5;1.5
06/11/21;Spezia;Torino;1;0;3.6;3.6;2
06/11/21;Juventus;Fiorentina;1;0;1.57;4.2;5.5
07/11/21;Lazio;Salernitana;3;0;1.3;5.5;9.5
07/11/21;Udinese;Sassuolo;3;2;2.4;3.5;2.8
07/11/21;Napoli;Hellas Verona;1;1;1.36;5;8
07/11/21;Venezia;Roma;3;2;5.75;4.5;1.53
07/11/21;Milan;Internazionale;1;1;3.25;3.5;2.15
07/11/21;Sampdoria;Bologna;1;2;2.37;3.6;2.87
20/11/21;Lazio;Juventus;0;2;3;3.4;2.35
20/11/21;Fiorentina;Milan;4;3;3.1;3.5;2.25
20/11/21;Atalanta;Spezia;5;2;1.25;6.5;9.5
21/11/21;Genoa;Roma;0;2;4.75;3.9;1.7
21/11/21;Sassuolo;Cagliari;2;2;1.6;4.2;5.25
21/11/21;Salernitana;Sampdoria;0;2;3.1;3.25;2.37
21/11/21;Internazionale;Napoli;3;2;2.2;3.5;3.25
21/11/21;Bologna;Venezia;0;1;1.61;4;5.5
22/11/21;Hellas Verona;Empoli;2;1;1.7;4;4.5
